Perturbedgene	APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
MLL3	0.77	0.024	0.526	0.147	0.231	0.043	0.355	0.097	0.004	0.858	0.919	0.11	0.265	0.232	0.427	0.316	0.583	0.711	0.002	0.276	0.268	0.29	0.013	0.268	0.138
NCOR1	0.197	0.698	0.122	0.988	0.144	0.369	0.729	0.25	0.992	0.014	0.18	0.877	0.455	0.347	0.656	0.496	0.772	0.771	0.484	0.387	0.073	0.203	0.414	0.973	0.864
NegCtrl	0.443	0.017	0.125	0.874	0.565	0.757	0.676	0.522	0.259	0.594	0.388	0.401	0.085	0.734	0.291	0.037	0.581	0.096	0.998	0.603	0.027	0.783	0.1	0.034	0.122
NF1	0.058	0.451	0.713	0.956	0.36	0.335	0.035	0.66	0.544	0.223	0.779	0.839	0.673	0.229	0.274	0.193	0.306	0.653	0.016	0.495	0.161	0.132	0.112	0.949	0.031
PTEN	0.541	0.011	0.429	0.608	0.906	0.099	0.064	0.844	0.193	0.304	0.022	0.136	0.211	0.198	0.799	0.28	0.363	0.124	0.024	0.905	0.76	0.83	0.838	0.028	0.061
PTPN22	0.979	0.466	0.85	0.019	0.765	0.861	0.477	0.549	0.072	0.247	0.024	0.766	0.506	0.299	0.849	0.976	0.816	0.32	0.635	0.8	0.499	0.873	0.178	0.442	0.119
PTPRD	0.545	0.679	0.856	0.888	0.922	0.761	0.425	0.367	0.633	0.837	0.175	0.995	0.161	0.331	0.265	0.023	0.844	0.829	0.018	0.339	0.177	0.706	0.493	0.876	0.201
RAD51	0.902	0.54	0.802	0.113	0.687	0.175	0.568	0.217	0.571	0.983	0.57	0.661	0.712	0.825	0.966	0.281	0.052	0.951	0.253	0.679	0.223	0.77	0.776	0.279	0.377
RB1	0.833	0.264	0.892	0.948	0.67	0.185	0.649	0.091	0.023	0.231	0.943	0.743	0.623	0.737	0.004	0.837	0.661	0.936	0.149	0.08	0.767	0.724	0.57	0.977	0.38
RUNX1	0.904	0.132	0.913	0.427	0.9	0.772	0.703	0.434	0.877	0.944	0.811	0.348	0.9	0.186	0.374	0.177	0.167	0.13	0.027	0.025	0.167	0.57	0.793	0.375	0.323
SETD2	0.74	0.012	0.343	0.54	0.08	0.272	0.264	0.291	0.495	0.264	0.49	0.876	0.276	0.137	0.51	0.327	0.074	0.272	0.434	0	0.003	0.331	0.907	0.75	0.206
STK11	0.087	0.707	0.854	0.493	0.964	0.264	0.178	0.211	0.376	0.251	0.111	0.001	0.979	0.022	0.589	0.012	0.404	0.696	0.035	0.689	0.147	0.353	0.004	0.357	0.018
TP53	0.257	0	0.014	0.011	0.032	0	0	0	0.026	0	0.006	0	0	0	0.074	0.314	0.11	0.201	0	0.1	0.004	0.001	0.105	0.988	0
